antecedent;consequent;support;confidence
menu;good;0.04610625846235173;0.47014925373134325
half;really;0.009801990320191701;0.2633482950358411
half;great;0.011061213192666087;0.2971796074227909
going;really;0.023870377342964932;0.2546010638297872
going;get;0.03474831750369663;0.370625
going;like;0.03326592542907084;0.354813829787234
going;never;0.019441902448876797;0.20736702127659573
going;go;0.029415945003129357;0.31375000000000003
going;went;0.019310993140352232;0.20597074468085105
going;great;0.029862283407432157;0.31851063829787235
really;get;0.05415905106959139;0.31044759052934745
get;really;0.05415905106959139;0.24337361547641057
us;really;0.030519323460693543;0.24677157575329897
fun;really;0.010346822394717747;0.26120483444542364
tour;really;0.0021917958512969998;0.23465029364655635
experience;really;0.025585912662296373;0.2375753927368287
really;well;0.03669948957837229;0.2103668341349418
well;really;0.03669948957837229;0.2587507251982209
order;really;0.026840148513493634;0.23600863874058567
hard;really;0.010904122022436609;0.286425413459964
really;would;0.05071800638837426;0.29072301986035576
would;really;0.05071800638837426;0.24325778867428097
needed;really;0.008686144309434696;0.23770044353462982
maybe;really;0.012163344894910994;0.32759141734663044
really;one;0.054324869527055834;0.3113980861449184
one;really;0.054324869527055834;0.2451088485121224
really;like;0.06371792410252318;0.3652404468044051
like;really;0.06371792410252318;0.2838268615603341
really;back;0.05263426931411003;0.30170731881623986
back;really;0.05263426931411003;0.22640345796597805
water;really;0.00834702686259011;0.26240495414282355
pretty;really;0.026498537556010483;0.314958062890845
never;really;0.024893963460095102;0.21597620335316386
really;go;0.0488004967073192;0.2797315743208959
go;really;0.0488004967073192;0.232682007597149
really;good;0.08546383038143232;0.48989115753214174
good;really;0.08546383038143232;0.2617492974095797
went;really;0.028805034896681386;0.2457297228308268
really;great;0.06552197904952362;0.3755815532384743
great;really;0.06552197904952362;0.2017730101627499
hard;get;0.013855191863176084;0.36394301621090547
water;get;0.01179430532040365;0.3707768284079329
come;time;0.038740428036036216;0.36464665430563054
time;like;0.07231554878428889;0.3037840102652735
like;time;0.07231554878428889;0.32212435578460996
many;time;0.023354220640782363;0.3352783246822982
time;good;0.0877653407008261;0.36868567837222094
good;time;0.0877653407008261;0.268798112170088
glad;go;0.005888425372966854;0.26815420428092884
next;good;0.030354751758548376;0.39936028869023205
tour;us;0.0028288878194498816;0.3028563801388147
needed;us;0.008846975745622019;0.24210167178437395
us;one;0.04382095596210861;0.3543252316098269
us;great;0.04285846085562324;0.3465427381876468
fun;one;0.01082682319264115;0.27332242225859243
fun;good;0.014483556544093995;0.3656364094170968
take;order;0.01970621457656449;0.233547090635066
tour;one;0.0026717966492204037;0.2860384410037373
tour;great;0.003841253138706516;0.4112386545648692
experience;food;0.04140848441929877;0.38449427536147995
experience;one;0.03402145915255547;0.31590280269966775
experience;good;0.0385185055892041;0.35765967052939884
come;like;0.03507372064202912;0.33013354613091744
come;good;0.04163788739804659;0.3919191682117962
cheese;would;0.01849062814026496;0.270008010486455
maybe;well;0.00881580686263998;0.2374332628185756
well;one;0.04590054383467027;0.32362300240853714
one;well;0.04590054383467027;0.20709906058390057
well;good;0.05858503245304096;0.41305532603153955
order;food;0.057792096069977886;0.5081728186631879
maybe;order;0.007914402766799404;0.21315603908532288
order;back;0.035640994312302235;0.3133955293421183
usually;order;0.007218713298640289;0.21585147628988965
order;go;0.034786966918594356;0.30588596423912207
order;good;0.047304390324181315;0.4159531666246423
long;place;0.02565573096017614;0.3980578768183225
long;good;0.025831523460194843;0.4007853605694831
would;like;0.06983824596487641;0.33496382228069127
like;would;0.06983824596487641;0.31108939043895506
need;like;0.019651357342516104;0.3496916182278032
need;even;0.013275450639710154;0.23623374894617738
usually;food;0.0142803354270511;0.4270056665672532
food;good;0.15227869469705094;0.4313386188264793
good;food;0.15227869469705094;0.4663825757575758
owner;like;0.010058821915963705;0.29849420992267567
needed;one;0.012912644841799218;0.35336062777209143
needed;great;0.011401577394829955;0.3120095530535653
lots;good;0.011291862926733176;0.4387231156752567
way;like;0.034061355322772484;0.37235419988823926
clean;like;0.01629758553364868;0.2640808080808081
diner;good;0.003682915213157757;0.4887491727332892
maybe;one;0.015047089948409266;0.4052583862194017
maybe;back;0.013541009522717128;0.36469561129579264
maybe;go;0.012494981809839892;0.33652328665927944
maybe;good;0.018377173406210336;0.4949464423625802
maybe;great;0.011672123299114056;0.3143615056579699
one;good;0.08538902506227543;0.38526748045226983
good;one;0.08538902506227543;0.2615201918377322
one;great;0.07055513027346332;0.3183383023007257
great;one;0.07055513027346332;0.21727245153785021
something;try;0.015525843991013387;0.23599082794822718
like;even;0.04982408282444937;0.22193775546472366
even;like;0.04982408282444937;0.3500245244017798
many;like;0.024589755162190398;0.3530159298371219
like;good;0.09466239112709174;0.4216667407144126
good;like;0.09466239112709174;0.28992164589442815
work;like;0.020193695906403585;0.3073784491592971
back;go;0.07911161202969272;0.3402943132333698
go;back;0.07911161202969272;0.3772061752099916
usually;good;0.015320129363331929;0.4580972263644497
pretty;go;0.024452612077069426;0.29064046708751967
work;even;0.01510693420373478;0.22995027896914258
never;great;0.03082477851391753;0.26743104380746346
went;go;0.036229462823003135;0.30906596328518854
many;good;0.027737812343376363;0.3982101306604618
next lots;menu;0.0005971957979358719;0.2191216834400732
menu next;good;0.00619512718151012;0.5570627802690583
next good;menu;0.00619512718151012;0.20409085308251532
menu lots;good;0.002447380691749721;0.5751538236155874
lots good;menu;0.002447380691749721;0.2167384343601634
half going;really;0.0019948085108505115;0.33030553261767137
half really;going;0.0019948085108505115;0.20351055711015006
half going;never;0.0017629120214641397;0.2919075144508671
half never;going;0.0017629120214641397;0.24014945652173916
half going;great;0.0019424447874406856;0.3216350123864575
half really;never;0.0022067569151283783;0.22513355380310351
half never;really;0.0022067569151283783;0.30061141304347827
half really;great;0.0035919020748502025;0.366446196896464
half great;really;0.0035919020748502025;0.32472948602344454
half never;great;0.0020758476066038136;0.2827785326086957
going really;get;0.011087395054370999;0.46448344301681815
going get;really;0.011087395054370999;0.3190771769940081
really get;going;0.011087395054370999;0.20471915285451195
going hard;really;0.002176834787465621;0.3775951557093426
going water;really;0.0017554314895484502;0.3559150657229525
really water;going;0.0017554314895484502;0.21030619865571323
going really;never;0.005594191117616404;0.2343570458581427
going never;really;0.005594191117616404;0.28773887392586894
really never;going;0.005594191117616404;0.2247207893023489
going really;go;0.00938058702227453;0.39298025697273586
going go;really;0.00938058702227453;0.31889463422904124
going really;went;0.006137776436823168;0.2571294265120652
going went;really;0.006137776436823168;0.31783846600813487
really went;going;0.006137776436823168;0.2130799861495845
going really;great;0.00924593744779212;0.3873393920401128
going great;really;0.00924593744779212;0.3096192384769539
going hard;get;0.002946082819462349;0.5110294117647058
get hard;going;0.002946082819462349;0.21263385224511833
going water;get;0.0025446276066536837;0.5159251769464105
get water;going;0.0025446276066536837;0.2157505285412262
going take;order;0.0037652010642303404;0.2672566371681416
going order;take;0.0037652010642303404;0.24754098360655738
going long;take;0.0027229136173109484;0.2609007287062478
take long;going;0.0027229136173109484;0.24191404519273374
going take;never;0.004099331489797802;0.2909734513274337
